Name,Status,List Builder,C. Manager,CSM,Seller,Execution Timeline - Start,Execution Timeline - End,Total Budget,Executed Amount,Executed Take Rate %,Company,# Influencers,# UGC,Internal Handbook,Live Report,Musical Genre,Audience Country,Números,Creative Hashtags,Influencers Budget,Sub-Campaign Budget,Take Rate %,Client Handbook,# Tiktoks,# IG Reels,# IG Posts,# IG Stories,# Youtube,# Streams (Twitch/Kick),Currency,POs/Invoice,# Execution Adjustments,Execution Adjustments Reasons,# Proposal Adjustments,Proposal Adjustments Reasons,PDF Presentation,Proposal,Music List Type,Last Updated,Deal Created Date,Proposal Board Start Date,Building Proposal Start Date,Pending Approval Start Date,Execution Board Start Date,Ongoing Start Date,Building Reports Start Date,Completed Date,Proposal Timeline - Start,Proposal Timeline - End,Subelementos LWT Status,# Posts,# Published,% Progress,Views,Engagement,CPM,CPE(mile),ER%,Seller ID,CSM ID,Hubspot ID,Campaign ID,US List URL,Creative URL,Brief URL,monday Doc v2
"Cris MJ "" 7 Trompetas""",Completed,,valentina.semprun@influur.com,,Steven Campos,1/3/2025,1/12/2025,4800,,100%,XYZ,2,180,https://docs.google.com/spreadsheets/d/1Tbd2hKkFnqI68NX3x2E8HxoheKfXDYpdgecATI0LGM8/edit?gid=1155028614#gid=1155028614,,Reggaeton,"ARG, MEX, PER",,"POV, Lip-sync",4800,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-31,,,,2025-04-28,,,,12/31/2024,12/31/2024,,,,,,,,,,189598736,,,,,,,
Marconi Impara “Tuyo”,Completed,Juan Val,Andres Ignacio Gomez,,Steven Campos,12/31/2024,1/13/2025,5000,,100%,Rimas Entertainment LLC,11,100,https://docs.google.com/spreadsheets/d/1GDYvYjm3HYVnLgBQy_aIpqHrhmO_-bShDR6NB3kd7f0/edit?gid=1394393419#gid=1394393419,,Reggaeton,"COL, MEX, US LATIN, ESP",,Lip-sync,5000,,,https://docs.google.com/spreadsheets/d/1wITy5S0vNCcdYHKge-MQNPLmPXHfaXfTgrh_t_tkkxI/edit?gid=1862554455#gid=1862554455,,,,,,,,,,,,,,https://www.canva.com/design/DAGa0PsCVaU/8OE3FR6Yan_ywweiv20aCA/edit,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-30,,,,2025-04-28,,,,12/30/2024,12/30/2024,,,,,,,,,,189598736,,,,,,,
Karol G - Social Spread,Completed,maria.escobar@influur.com,maria.escobar@influur.com,,Steven Campos,12/30/2024,12/31/2024,5000,,100%,Interscope Records,4,,https://docs.google.com/spreadsheets/d/1dOV4XcTa6aTmMUylWRTQcoj1vneF_O77QmjuXnpOyrI/edit?usp=sharing,,Reggaeton,US,,SocialSpread,5000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-30,,,,2025-04-28,,,,12/30/2024,12/30/2024,,,,,,,,,,189598736,,,,,,,
"Danny Ocean & Kapo ""Imaginate"" IG",Completed,camila.parra@influur.com,maria.escobar@influur.com,,Steven Campos,12/30/2024,1/24/2025,22168,,100%,Warner Regional Latam,17,,https://docs.google.com/spreadsheets/d/1ayXraYbkfEBVuZmFiZHPtvlDUcVYpDpzkaXoXjKtnYw/edit?usp=sharing,,Reggaeton,"MEX, US LATIN",,"POV, parejas, inspiracional",22168,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-30,,,,2025-04-28,,,,12/30/2024,12/30/2024,,,,,,,,,,189598736,,,,,,,
"Santander ""Con los perros a mi lado""",Completed,camila.parra@influur.com,Carolina Anaya,,Steven Campos,12/24/2024,1/9/2025,1000,,100%,Dimesantander,3,0,https://docs.google.com/spreadsheets/d/1lBV77d0OW_kMEhmjd3nIAbbLeaBqhB6zAO-WMWqUDes/edit?usp=sharing,,Pop,VZ,,"Lip-sync, recap",1000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-16,,,,2025-04-28,,,,12/16/2024,12/16/2024,,,,,,,,,,189598736,,,,,,,
Drag @arrietty_theelf x Tokisha - De Maravisha,Completed,,Genesis Martinez,,Steven Campos,12/23/2024,12/24/2024,1625,,100%,Warner Music Latina Inc.,1,,https://docs.google.com/spreadsheets/d/1wJ7Qq6mfYhBIQalr6oR6vSAnX-Ffz_7YtAVrkGlX6jI/edit?usp=sharing,,Reggaeton,US,,Makeup,1625,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-23,,,,2025-04-28,,,,12/23/2024,12/23/2024,,,,,,,,,,189598736,,,,,,,
"Myke Towers ""Los Depuro"" ft. L-Gante"" PR & US Latin",Completed,camila.parra@influur.com,maria.escobar@influur.com,,Steven Campos,12/21/2024,1/24/2025,30000,,100%,Warner Regional Latam,25,,https://docs.google.com/spreadsheets/d/19709hQAJub0Eg96lXZWny1uWkMTvg1K4LIUGh1IjliQ/edit?usp=sharing,,Trap,"COL, MEX, PR, US LATIN",,"SocialSpread, Review",30000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-17,,,,2025-04-28,,,,12/17/2024,12/17/2024,,,,,,,,,,189598736,,,,,,,
Blessd - Kings League CDMX,Completed,camila.parra@influur.com,"camila.parra@influur.com, Carolina Anaya",,Steven Campos,12/20/2024,12/26/2024,2700,,100%,Warner Music Mexico,3,,https://docs.google.com/spreadsheets/d/1siPEio9hM67wiq02_ZGDRz8MEzeIDV796GYlTSkd_yo/edit?usp=sharing,,Reggaeton,MEX,,"presencial, recap",2700,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-18,,,,2025-04-28,,,,12/18/2024,12/18/2024,,,,,,,,,,189598736,,,,,,,
Blessd - Kings League CDMX - Key Talents,Completed,camila.parra@influur.com,"camila.parra@influur.com, Carolina Anaya",,Steven Campos,12/20/2024,12/21/2024,10666,,100%,Warner Music Mexico,2,,https://docs.google.com/spreadsheets/d/1k7IE8WfIS50HQKSPXa7hYyhAS_BzaTEUj8jbmxu9f_M/edit?usp=sharing,,Reggaeton,MEX,,"presencial, TREND, Dance",10666,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-18,,,,2025-04-28,,,,12/18/2024,12/18/2024,,,,,,,,,,189598736,,,,,,,
"Myke Towers ""Los Depuro"" ft. L-Gante"" ARG & CH",Completed,camila.parra@influur.com,maria.escobar@influur.com,,Steven Campos,12/20/2024,1/21/2025,15000,,100%,Warner Regional Latam,16,250,https://docs.google.com/spreadsheets/d/1tzgUIXP4PztwoEWqSDHtrL8787EwaW1iOJXyOttGq-k/edit?usp=sharing,,Trap,"ARG, CH",,"SocialSpread, Libre, Review",15000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-17,,,,2025-04-28,,,,12/17/2024,12/17/2024,,,,,,,,,,189598736,,,,,,,
"Tiago PZK & Grupo Frontera ""Mi Corazon"" @kemocion",Completed,Juan Val,Carolina Anaya,,Steven Campos,12/20/2024,1/4/2025,750,,100%,Warner Music Mexico,1,,https://docs.google.com/spreadsheets/d/185mlFcMGRIvuxQkHdvAkS5HfYaHHqWzhoKCsso3Litc/edit?gid=525432794#gid=525432794,,Reggaeton,MEX,,Review,750,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-18,,,,2025-04-28,,,,12/18/2024,12/18/2024,,,,,,,,,,189598736,,,,,,,
"Belinda ""La Cuadrada"" PR Kits",Completed,,Carolina Anaya,,Steven Campos,12/20/2024,12/20/2024,3155,,100%,Warner Music Mexico,7,,https://docs.google.com/spreadsheets/d/1sSJkp4l8z2mBJJTh34rE5ij-w0ZnaxuBMePKmWeVLRA/edit?usp=sharing,,Regional MX,MEX,,PRkit,3155,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-20,,,,2025-04-28,,,2025-04-15,12/20/2024,12/20/2024,,,,,,,,,,189598736,,,,,,,
"Estevie “Hombre Malvado""",Completed,,valentina.semprun@influur.com,,Steven Campos,12/20/2024,1/8/2025,5250,,100%,XYZ,11,,https://docs.google.com/spreadsheets/d/18YWaB1TuqLnfjPI2PXNlPzdqyJqdIYKQGY9YxFuBtQs/edit?gid=1142235005#gid=1142235005,,Pop,"MEX, US LATIN",,"POV, Lip-sync",5250,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-19,,,,2025-04-28,,,,12/19/2024,12/19/2024,,,,,,,,,,189598736,,,,,,,
"Milo Bugatti ""Trago Amargo"" Micros",Completed,camila.parra@influur.com,Genesis Martinez,,Steven Campos,12/20/2024,1/3/2025,3000,,100%,Warner Music Latina Inc.,,120,https://docs.google.com/spreadsheets/d/1zHZXNqL8NG_fYH4uSQSJzydYSeh_jznExhR770P026k/edit?usp=sharing,,Reggaeton,COL,,Lip-sync,3000,,,https://dashboard.influur.com/client/-milo-bugatti---trago-amargo---micros147,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-20,,,,2025-04-28,,,,12/20/2024,12/20/2024,,,,,,,,,,189598736,,,,,,,
"Tokischa & Nathy Peluso ""De Maravisha"" Macros",Completed,camila.parra@influur.com,maria.escobar@influur.com,,Steven Campos,12/20/2024,1/2/2025,10000,,100%,Warner Regional Latam,3,,https://docs.google.com/spreadsheets/d/19juQMF07vQzu9o3wdSoH1H-2ivXsZOHbLqrJZYAR47U/edit?usp=sharing,,Reggaeton,MEX,,"Libre, Lip-sync",10000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-05,,,,2025-04-28,,,,12/5/2024,12/5/2024,,,,,,,,,,189598736,,,,,,,
"Danny Ocean ""Imaginate"" Key Talents",Completed,Juan Val,maria.escobar@influur.com,,Steven Campos,12/19/2024,1/7/2025,10000,,100%,Warner Regional Latam,5,,https://docs.google.com/spreadsheets/d/1bIU18NUqvCga47TaStb4k1TRo7MjU-sDNr4kVVO1zpM/edit?usp=sharing,,Reggaeton,MEX,,parejas,10000,,,https://docs.google.com/spreadsheets/d/1aeo793tdYCFq2L92yR_ZbQgkz_AxQUtnyUnp0K-4a9I/edit?gid=1592213448#gid=1592213448,,,,,,,,,,,,,,https://www.canva.com/design/DAGZnGcXwAg/vlCx2U0k0som18DR8Ol_AA/edit?utm_content=DAGZnGcXwAg&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-17,,,,2025-04-28,,,,12/17/2024,12/17/2024,,,,,,,,,,189598736,,,,,,,
"Danny Ocean & Kapo ""Imaginate"" CDMX",Completed,camila.parra@influur.com,Carolina Anaya,,Steven Campos,12/19/2024,12/23/2024,4500,,100%,Warner Music Mexico,3,,https://docs.google.com/spreadsheets/d/1eRDsQigcLgVHpljo5YM9IVn2Rh9FmSHWjlFo9bFpDgU/edit?usp=sharing,,Reggaeton,MEX,,"TREND, Dance",4500,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-18,,,,2025-04-28,,,,12/18/2024,12/18/2024,,,,,,,,,,189598736,,,,,,,
Blessd Kings League CDMX - Social Spread,Completed,camila.parra@influur.com,maria.escobar@influur.com,,Steven Campos,12/19/2024,12/23/2024,2875,,100%,Warner Regional Latam,4,,https://docs.google.com/spreadsheets/d/111gQfiYXlqHf5X9WiRcwqkwxl7-REoePFIov7_Mc3P8/edit?usp=sharing,,Reggaeton,US LATIN,,SocialSpread,2875,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-19,,,,2025-04-28,,,,12/19/2024,12/19/2024,,,,,,,,,,189598736,,,,,,,
"Blessd & Anuel ""Mirame Remix""",Completed,camila.parra@influur.com,maria.escobar@influur.com,,Steven Campos,12/19/2024,1/6/2025,30000,,100%,Warner Regional Latam,15,,https://docs.google.com/spreadsheets/d/14bgyCOu8uK7Boxrbp3cmUAZZd7zH7lOGNWK4_heXxXE/edit?usp=sharing,,Reggaeton,"US LATIN, ESP, MEX",,"POV, Lip-sync, letra",30000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-19,,,,2025-04-28,,,,12/19/2024,12/19/2024,,,,,,,,,,189598736,,,,,,,
"Blessd & Anuel ""Deportivo"" Macros",Completed,Juan Val,maria.escobar@influur.com,,Steven Campos,12/19/2024,1/5/2025,10000,,100%,Warner Regional Latam,9,,https://docs.google.com/spreadsheets/d/1jvYNvhPtf4ndRIlEJmkhvPzfHkX_aYvmmQsKojLn3bs/edit?usp=sharing,,Reggaeton,"MEX, US LATIN",,"POV, Lip-sync",10000,,,https://docs.google.com/spreadsheets/d/1Ss2KwAxJ66_wK3zd1MKvjJ4v2YenPpDevIaW69RxIZ0/edit?gid=339521542#gid=339521542,,,,,,,,,,,,,,https://www.canva.com/design/DAGZlcOhjdg/l2IywAB3nCDjh5lE1LpUUQ/edit?utm_content=DAGZlcOhjdg&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-17,,,,2025-04-28,,,,12/17/2024,12/17/2024,,,,,,,,,,189598736,,,,,,,
"Yng Lvcas ""Miente"" (FuaPR)",Completed,Juan Val,Andres Ignacio Gomez,,Polina Andrieieva,12/19/2024,1/15/2025,5000,,100%,FuaPR,9,,https://docs.google.com/spreadsheets/d/1YWJA2u_KcljDXJWvrAkOTTbMMrmngleivFm7-GbkD8s/edit?usp=sharing,,Reggaeton,MEX,,POV,5000,,,https://docs.google.com/spreadsheets/d/1suEYQU-7fhFbaKMoWChjheYKOo6EfZOVpO-aDA5zm60/edit?gid=1834453721#gid=1834453721,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-11-25,,,,2025-04-28,,,,11/25/2024,11/25/2024,,,,,,,,,,414817948,,,,,,,
"Priscy Escoto ""Cupido de Vacaciones""",Completed,,valentina.semprun@influur.com,,Steven Campos,12/19/2024,12/26/2024,2010,,100%,XYZ,0,87,https://docs.google.com/spreadsheets/d/1v3o1A6gjObz39DLX7a74kGnA_ly8KUA-kC1BKYc3fGg/edit?gid=409895471#gid=409895471,,Pop,MEX,,GRWM,2010,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-18,,,,2025-04-28,,,,12/18/2024,12/18/2024,,,,,,,,,,189598736,,,,,,,
"RaiNao ""BSukeo""",Completed,,valentina.semprun@influur.com,,Steven Campos,12/19/2024,12/19/2024,3500,,100%,XYZ,3,80,https://docs.google.com/spreadsheets/d/1Sjbsn7IslMC_xXuLhuh_MKOLRmjL3n6jqk13khKSgQs/edit?usp=sharing,,Reggaeton,"ESP, MEX, CH",,Dance,3500,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-18,,,,2025-04-28,,,,12/18/2024,12/18/2024,,,,,,,,,,189598736,,,,,,,
"Myke Towers ""Degenere"" - Key Talents",Completed,,maria.escobar@influur.com,,Steven Campos,12/19/2024,1/9/2025,10000,,100%,Warner Regional Latam,4,,https://docs.google.com/spreadsheets/d/18A2HFgZhkPNwZtlJj3D1HxO8EHRy07VOPa-agnPRi74/edit?usp=sharing,,Reggaeton,"MEX, US LATIN",,Dance,10000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-17,,,,2025-04-28,,,,12/17/2024,12/17/2024,,,,,,,,,,189598736,,,,,,,
"Kenia Os ""Tokome""",Completed,Juan Val,Andres Ignacio Gomez,,Polina Andrieieva,12/18/2024,1/11/2025,4900,,100%,Sony Music Mexico,14,,https://docs.google.com/spreadsheets/d/1m7997fHtlaqtcOctgoZW5NVWQsnFcXiaD7fxZYyHHrI/edit?gid=1823430735#gid=1823430735,,Reggaeton,MEX,,"POV, Lip-sync",4900,,,https://docs.google.com/spreadsheets/d/1AFI9i__VgaCKxH6GAstiYbzpwqEwAL9Vy02op3vNeKQ/edit?gid=2105861245#gid=2105861245,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-18,,,,2025-04-28,,,,12/18/2024,12/18/2024,,,,,,,,,,414817948,,,,,,,
"Yaisel x Ozuna x JC Reyes ""Llame Para Verte Remix""",Completed,,valentina.semprun@influur.com,,Steven Campos,12/18/2024,12/30/2024,7000,,100%,XYZ,8,,https://docs.google.com/spreadsheets/d/15EmkyLf8bwgqMWsqDv61E0c7Pyq4NK4DvtgYBeF75uU/edit?usp=sharing,,Reggaeton,"⁠⁠PR, COL, ESP, MEX",,"POV, Lip-sync",7000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-18,,,,2025-04-28,,,,12/18/2024,12/18/2024,,,,,,,,,,189598736,,,,,,,
"Hillkidd, Mi Compa el Chino ""Sola""",Completed,,Pablo Balaguera,,Steven Campos,12/17/2024,1/5/2025,8000,,100%,Universal Music Latin,4,100,https://docs.google.com/spreadsheets/d/16yk-38zWpDwm4QSwrMeSg3ztNo-evUD5qYOqhjtyVGY/edit?usp=sharing,,,"MEX, ESP, CH",,"recap, Fiesta",8000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-10,,,,2025-04-28,,,,12/10/2024,12/10/2024,,,,,,,,,,189598736,,,,,,,
"Blessd & Anuel ""Deportivo"" Futbol",Completed,camila.parra@influur.com,Carolina Anaya,,Steven Campos,12/17/2024,12/23/2024,2400,,100%,Warner Music Mexico,4,,https://docs.google.com/spreadsheets/d/11HNUYyXarciH5Jw3wYgF8cuoQs33O6h6LDfLm4J3bnM/edit?usp=sharing,,Reggaeton,MEX,,"POV, futbol",2400,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-11-27,,,,2025-04-28,,,,11/27/2024,11/27/2024,,,,,,,,,,189598736,,,,,,,
"Mont Pantoja & Bellakath ""Hermanas de leche""",Completed,camila.parra@influur.com,Carolina Anaya,,Steven Campos,12/17/2024,12/31/2024,30000,,100%,"Meta Platforms, Inc.",20,,https://docs.google.com/spreadsheets/d/1-Cg8zGZHYkC7Y6I49Rf_dvy8AgLKl7lbm-H8cpKUw-s/edit?usp=sharing,,Reggaeton,"MEX, US LATIN",,"POV, Dance",30000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-16,,,,2025-04-28,,,,12/16/2024,12/16/2024,,,,,,,,,,189598736,,,,,,,
"Oscar Maydon ""Otra Mentira""",Completed,camila.parra@influur.com,Carolina Anaya,,Steven Campos,12/17/2024,12/26/2024,20000,,100%,"Meta Platforms, Inc.",24,,https://docs.google.com/spreadsheets/d/1uYM_ypspgBHpwj-Tnp3vSqrvyD2zUkGqV_a5FHYhylE/edit?usp=sharing,,Corridos,"COL, MEX, ARG, GUA",,POV,20000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-12,,,,2025-04-28,,,,12/12/2024,12/12/2024,,,,,,,,,,189598736,,,,,,,
Tiago PZK & Grupo Frontera Micros,Completed,Juan Val,Carolina Anaya,,Steven Campos,12/17/2024,12/23/2024,3000,,100%,Warner Music Mexico,,120,https://docs.google.com/spreadsheets/d/1VIdeUr9DnpsxQwstRhWLtd2_hcV3TyIkZ-OrrGX8KeE/edit?usp=sharing,,Reggaeton,MEX,,Capcut,3000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-17,,,,2025-04-28,,,,12/17/2024,12/17/2024,,,,,,,,,,189598736,,,,,,,
Los Primos del Este & Óscar Ortiz “Bandido,Completed,,Andres Ignacio Gomez,,Steven Campos,12/17/2024,1/14/2025,2000,,100%,Interscope Records,7,,https://docs.google.com/spreadsheets/d/17TRi7xj_ij5kiKvJp4g6nnfWOUdKGNBkYjWwLM9jYoc/edit?gid=1819865111#gid=1819865111,,Banda Regional,"MEX, LATAM",,Capcut,2000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-12,,,,2025-04-28,,,,12/12/2024,12/12/2024,,,,,,,,,,189598736,,,,,,,
"Santiago Cruz ""Un Amor de Verdad"" (Versión Merenge)",Completed,,valentina.semprun@influur.com,,Steven Campos,12/16/2024,12/23/2024,1050,,100%,XYZ,,45,https://docs.google.com/spreadsheets/d/1nTYM_M-7hYLfglL5SmS8Vp3jfJJzQ_eHvWrsYD-uHwo/edit?gid=586018690#gid=586018690,,Balada,COL,,navidad,1050,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-16,,,,2025-04-28,,,,12/16/2024,12/16/2024,,,,,,,,,,189598736,,,,,,,
"Mont & Bellakath ""Hermanas de Leche""",Completed,Juan Val,Andres Ignacio Gomez,,Polina Andrieieva,12/16/2024,12/30/2024,5000,,100%,LizosMusic,5,,https://docs.google.com/spreadsheets/d/1SarUpgYC5FhExdi20Pc_zxwnMRmIxuFZM9k1Hn-ebm0/edit?usp=sharing,,Pop,MEX,,"POV, TREND, Dance",5000,,,https://docs.google.com/spreadsheets/d/18PemJz_RcrMuzTP2YXv_xfuent27yBcSvvhrLtP9Wsw/edit?gid=2110301408#gid=2110301408,,,,,,,,,,,,,,https://www.canva.com/design/DAGY0X2nHBo/FI3s2HFWKmIse2MmtQKdyw/edit?utm_content=DAGY0X2nHBo&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-09,,,,2025-04-28,,,,12/9/2024,12/9/2024,,,,,,,,,,414817948,,,,,,,
"Danny Ocean & Kapo ""Imaginate"" Travel",Completed,camila.parra@influur.com,Genesis Martinez,,Steven Campos,12/15/2024,12/28/2024,6750,,100%,Warner Music Latina Inc.,7,,https://docs.google.com/spreadsheets/d/1u2oSdjd43wPNjtUd2r9vC9kTMCrog1sF_gzOR3ko6sE/edit?usp=sharing,,Reggaeton,"US, US LATIN",,"Travel, travelaccounts",6750,,,https://dashboard.influur.com/client/danny-ocean-ft-kapo---imaginate-147,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-13,,,,2025-04-28,,,,12/13/2024,12/13/2024,,,,,,,,,,189598736,,,,,,,
"Karol G ""Si Antes Te Hubiera Conocido""",Completed,,Andres Ignacio Gomez,,Steven Campos,12/13/2024,12/31/2024,20000,,100%,Interscope Records,16,0,https://docs.google.com/spreadsheets/d/1NhsnIWn18bOj42FtU4dlycAVceFtmKavkzNDR7OIHxg/edit?usp=sharing,,Reggaeton,"LATAM, US LATIN",,"POV, Lip-sync, Couples",20000,,,https://docs.google.com/spreadsheets/d/1rtQxyc8NwRJXnDhpfDTM3Pz1SVTrVPtPZj6uPLrQY7o/edit?usp=sharing,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-11,,,,2025-04-28,,,,12/11/2024,12/11/2024,,,,,,,,,,189598736,,,,,,,
Jay Wheeler Concierto Madrid,Completed,Juan Val,Andres Ignacio Gomez,,Polina Andrieieva,12/13/2024,12/19/2024,6950,,100%,BuenaVibra,3,,https://docs.google.com/spreadsheets/d/1XW8BDXJU4o9a2oYe-ErcMXjyRnD6-D88GTTkK_nWumI/edit?gid=1332068945#gid=1332068945,,Reggaeton,"MEX, ESP",,"Lip-sync, RECAPEVENTO",6950,,,https://docs.google.com/spreadsheets/d/1hjbMUOneKXPM5ij3ZS4e9H9dSn7wWPfdDNiutSCTa24/edit?gid=1153251738#gid=1153251738,,,,,,,,,,,,,,https://www.canva.com/design/DAGZAZMvrtk/1I8DjmIgAfp0HU4qZ2bRsA/edit?utm_content=DAGZAZMvrtk&utm_campaign=designshare&utm_medium=link2&utm_source=sharebutton,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-11,,,,2025-04-28,,,,12/11/2024,12/11/2024,,,,,,,,,,414817948,,,,,,,
"Ñengo Flow & Jory Boy x Gotay ""El Autentiko"" ""X2""",Completed,,valentina.semprun@influur.com,,Steven Campos,12/12/2024,12/25/2024,7000,,100%,XYZ,6,0,https://docs.google.com/spreadsheets/d/1rdN9JBwTVSbARtTlbvC9BIkWM7h8MjfgkFkmaOahe7I/edit?gid=697418073#gid=697418073,,Reggaeton,"COL, MEX, US LATIN",,"urbano, carros",7000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-04,,,,2025-04-28,,,,12/4/2024,12/4/2024,,,,,,,,,,189598736,,,,,,,
Tokischa & Nathy Peluso | De Maravisha | Drag Profiles MX & US,Completed,camila.parra@influur.com,maria.escobar@influur.com,,Steven Campos,12/12/2024,12/25/2024,6876,,100%,Warner Regional Latam,8,,https://docs.google.com/spreadsheets/d/1K9rIRo4Zt3N_qThw4pbgdmSsjg9Fupsdiw6E_IhDUp0/edit?gid=1834453721#gid=1834453721,,Reggaeton,"MEX, US LATIN",,drags,6876,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-05,,,,2025-04-28,,,,12/5/2024,12/5/2024,,,,,,,,,,189598736,,,,,,,
Clarent x Warner Latin (Firma) - Social Spread,Completed,camila.parra@influur.com,Genesis Martinez,,Steven Campos,12/12/2024,12/17/2024,10000,,100%,Warner Music Latina Inc.,19,,https://docs.google.com/spreadsheets/d/1sNh5y1ukudwy3Vb2uqVrDLNZYFzRiFpKoahT6ingzjw/edit?usp=sharing,,Social Spread,"LATAM, US, US LATIN",,SocialSpread,10000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-11,,,,2025-04-28,,,,12/11/2024,12/11/2024,,,,,,,,,,189598736,,,,,,,
Galore's Package #2,Completed,camila.parra@influur.com,maria.escobar@influur.com,,Steven Campos,12/12/2024,1/31/2025,10625,,100%,Warner Regional Latam,1,,https://docs.google.com/spreadsheets/d/1Z4ajPI2IlXjlgFAcT-X4_joo22ymgLHm4YVtO8IAitA/edit?usp=sharing,,Pop,US,,SocialSpread,10625,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-12,,,,2025-04-28,,,,12/12/2024,12/12/2024,,,,,,,,,,189598736,,,,,,,
"Valentina Marquez ""Tanto""",Completed,camila.parra@influur.com,Andres Ignacio Gomez,,Steven Campos,12/12/2024,12/28/2024,10000,,100%,"Meta Platforms, Inc.",12,,https://docs.google.com/spreadsheets/d/11DTHyu1oDLf7znrSRm7E4iaT0bE0S6BNL_LsruZYI4E/edit?usp=sharing,,Pop,"UY, ARG, CH",,"POV, pets",10000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-17,,,,2025-04-28,,,,12/17/2024,12/17/2024,,,,,,,,,,189598736,,,,,,,
"Yailin La Mas Viral ""Bing Bong""",Completed,,Andres Ignacio Gomez,,Steven Campos,12/12/2024,1/11/2025,5000,,100%,Roc Nation,10,,https://docs.google.com/spreadsheets/d/1twc2SaNeB3QyyTe2gebZd_mVXO03u2gqfH7CoI8-BrU/edit?gid=714893514#gid=714893514,,Reggaeton,"ESP, COL, MEX, US LATIN",,"POV, Lip-sync",5000,,,,,,,,,,,,,,,,,,,"Gabriela Cruz Sep 24, 2025 1:25 PM",2024-12-04,,,,2025-04-28,,,2025-02-26,12/4/2024,12/4/2024,,,,,,,,,,189598736,,,,,,,
